lon,lat,tp
72.25,34.5,2.7821733951568604
72.25,34.75,4.15569543838501
72.5,34.25,2.4546608924865723
72.5,34.5,3.267213821411133
72.5,34.75,4.040099620819092
72.5,35.0,3.041692018508911
72.5,35.75,2.994094133377075
72.5,36.0,2.007018804550171
72.5,36.25,1.8098317384719849
72.75,34.0,2.7889721393585205
72.75,34.25,3.084756374359131
72.75,34.5,3.26381254196167
72.75,34.75,3.817979335784912
72.75,35.0,3.525596141815185
72.75,35.25,6.549155235290527
72.75,35.5,4.448078632354736
72.75,35.75,3.2649450302124023
72.75,36.0,2.2291393280029297
72.75,36.25,1.5673115253448486
72.75,36.5,1.3508572578430176
73.0,34.0,3.594726324081421
73.0,34.25,3.705788373947144
73.0,34.5,3.545995712280273
73.0,34.75,3.871243476867676
73.0,35.0,3.7284531593322754
73.0,35.25,6.464160919189453
73.0,35.5,4.355147361755371
73.0,35.75,3.159552812576294
73.0,36.0,2.533987045288086
73.0,36.25,1.8857605457305908
73.0,36.5,1.4494508504867554
73.0,36.75,1.3576560020446775
73.25,34.0,4.152294158935547
73.25,34.25,3.933574914932251
73.25,34.5,3.2048821449279785
73.25,34.75,3.6377906799316406
73.25,35.0,3.32840895652771
73.25,35.25,4.5942702293396
73.25,35.5,2.8705670833587646
73.25,35.75,2.4217963218688965
73.25,36.0,2.5158562660217285
73.25,36.25,2.081815242767334
73.25,36.5,2.1203458309173584
73.25,36.75,2.156611442565918
73.5,34.0,4.408411502838135
73.5,34.25,3.7386529445648193
73.5,34.75,3.871243476867676
73.5,35.0,3.573194026947021
73.5,35.25,3.18448257446289
73.5,35.5,1.8313639163970947
73.5,35.75,2.1169445514678955
73.5,36.0,2.2767372131347656
73.5,36.25,2.0183510780334477
73.5,36.5,2.04781436920166
73.5,36.75,2.009283781051636
73.75,35.0,4.324551582336426
73.75,35.25,3.042824506759644
73.75,35.5,1.5265121459960938
73.75,35.75,1.825693964958191
73.75,36.0,2.3866631984710693
73.75,36.25,2.1271445751190186
73.75,36.5,1.7259680032730105
73.75,36.75,1.6738362312316897
73.75,37.0,0.9859427809715272
74.0,35.0,4.904784202575684
74.0,35.25,4.554603099822998
74.0,35.5,1.7418339252471924
74.0,35.75,1.4709830284118652
74.0,36.0,2.192873477935791
74.0,36.25,2.148676633834839
74.0,36.5,1.738432765007019
74.0,36.75,1.5457794666290283
74.0,37.0,0.7876232266426086
74.25,35.0,4.3608174324035645
74.25,35.25,2.943098545074463
74.25,35.5,1.8630921840667725
74.25,35.75,2.3843982219696045
74.25,36.0,2.999760150909424
74.25,36.25,2.7527101039886475
74.25,36.5,2.263136148452759
74.25,36.75,1.749765157699585
74.25,37.0,0.7728897333145142
74.5,35.0,4.732526779174805
74.5,35.25,3.135751962661743
74.5,35.5,3.244545221328736
74.5,35.75,3.251347780227661
74.5,36.0,2.392329216003418
74.5,36.25,2.145275592803955
74.5,36.5,2.1441431045532227
74.5,36.75,1.6035735607147217
74.5,37.0,0.813689112663269
74.75,34.75,5.525816440582275
74.75,35.0,5.010176658630371
74.75,35.25,3.633256912231445
74.75,35.5,3.9891042709350586
74.75,35.75,3.0020289421081543
74.75,36.0,1.992285251617432
74.75,36.25,1.992285251617432
74.75,36.5,2.007018804550171
74.75,36.75,1.4857165813446045
74.75,37.0,0.8442848920822144
75.0,34.75,6.202375411987305
75.0,35.0,4.15569543838501
75.0,35.25,3.162950277328491
75.0,35.5,2.668846368789673
75.0,35.75,2.1509454250335693
75.0,36.0,2.2450051307678223
75.0,36.25,2.308469295501709
75.0,36.5,1.8358938694000244
75.0,36.75,1.1366679668426514
75.0,37.0,0.7547587156295776
75.25,34.5,6.171777725219727
75.25,34.75,4.367616176605225
75.25,35.0,3.1980834007263184
75.25,35.25,2.5203897953033447
75.25,35.5,3.578860282897949
75.25,35.75,3.4383349418640137
75.25,36.0,2.82523775100708
75.25,36.25,2.3764631748199463
75.25,36.5,1.3746545314788818
75.25,36.75,0.7354915142059326
75.25,37.0,0.5235708951950073
75.5,34.25,5.874861240386963
75.5,34.5,4.845853805541992
75.5,34.75,3.3363401889801025
75.5,35.0,2.794638156890869
75.5,35.25,2.63938307762146
75.5,35.5,3.3964030742645264
75.5,35.75,3.3193416595458984
75.5,36.0,2.784438371658325
75.5,36.25,2.0126848220825195
75.5,36.5,1.0142773389816284
75.5,36.75,0.5677677392959595
75.5,37.0,0.3830455243587494
75.75,34.0,5.783066272735596
75.75,34.25,4.967112064361572
75.75,34.5,3.572061538696289
75.75,34.75,3.017894983291626
75.75,35.0,2.713043212890625
75.75,35.25,2.879634380340576
75.75,35.5,2.7935056686401367
75.75,35.75,2.609915971755981
75.75,36.0,2.3673958778381348
75.75,36.25,1.596774935722351
75.75,36.5,0.8884817361831665
76.0,34.0,4.74385929107666
76.0,34.25,3.596995115280152
76.0,34.5,2.7663073539733887
76.0,34.75,2.4807229042053223
76.0,35.0,2.87510085105896
76.0,35.25,2.7345755100250244
76.0,35.5,2.2280068397521973
76.0,35.75,2.169076442718506
76.0,36.0,1.8868930339813232
76.25,33.5,4.395946979522705
76.25,33.75,4.144362926483154
76.25,34.0,3.0904226303100586
76.25,34.25,2.3016669750213623
76.25,34.5,2.0704827308654785
76.25,34.75,1.907292723655701
76.25,35.0,3.05415678024292
76.25,35.25,2.5668516159057617
76.25,35.5,2.5770516395568848
76.25,35.75,1.9990838766098025
76.25,36.0,1.5287809371948242
76.5,33.5,4.147760391235352
76.5,33.75,3.18448257446289
76.5,34.0,2.084080219268799
76.5,34.25,1.531045913696289
76.5,34.5,1.4959163665771484
76.5,34.75,1.6715712547302246
76.5,35.0,2.6235170364379883
76.5,35.25,2.1339430809021
76.5,35.5,2.506788730621338
76.5,35.75,1.9412897825241089
76.5,36.0,1.1650025844573977
76.75,33.0,3.572061538696289
76.75,33.25,3.158420324325561
76.75,33.5,2.741377830505371
76.75,33.75,2.4115965366363525
76.75,34.0,1.9730217456817627
76.75,34.25,1.7633662223815918
76.75,34.5,1.2783259153366089
76.75,34.75,1.5763752460479736
76.75,35.0,2.102214813232422
76.75,35.25,1.7780996561050415
76.75,35.5,2.218939304351806
76.75,35.75,1.6081072092056274
77.0,33.0,3.1346194744110107
77.0,33.25,2.4614593982696533
77.0,33.5,1.7361677885055542
77.0,33.75,1.3871229887008667
77.0,34.0,1.3043917417526243
77.0,34.25,1.2613273859024048
77.0,34.5,1.2012646198272705
77.0,34.75,1.4857165813446045
77.0,35.0,1.9582881927490237
77.0,35.25,1.8800944089889529
77.0,35.5,1.9990838766098025
77.0,35.75,1.297593116760254
77.25,32.75,3.517664909362793
77.25,33.0,2.564586639404297
77.25,33.25,1.827962636947632
77.25,33.5,1.1344029903411863
77.25,33.75,0.8363537788391113
77.25,34.0,0.7547587156295776
77.25,34.25,1.141201734542847
77.25,34.5,1.5231146812438965
77.25,34.75,1.9344911575317385
77.25,35.0,2.183809757232666
77.25,35.25,2.0330846309661865
77.25,35.5,1.3701207637786863
77.5,32.75,2.663180351257324
77.5,33.0,1.7327666282653809
77.5,33.25,1.218263030052185
77.5,33.5,0.9678118228912354
77.5,33.75,0.6765611171722412
77.5,34.0,0.7105618715286255
77.5,34.25,1.1582002639770508
77.5,34.5,1.5287809371948242
77.5,34.75,1.7644987106323242
77.5,35.0,1.8993579149246216
77.5,35.25,1.7123706340789795
77.5,35.5,1.0562055110931396
77.75,32.5,2.641648054122925
77.75,32.75,1.7146356105804443
77.75,33.0,1.1400692462921145
77.75,33.25,0.8272863626480103
77.75,33.5,0.7513575553894043
77.75,33.75,0.6663613319396973
77.75,34.0,0.7003620266914368
77.75,34.25,1.072071552276611
77.75,34.5,1.4902502298355105
77.75,34.75,1.3123266696929932
77.75,35.0,1.3927891254425049
77.75,35.25,1.1672675609588623
77.75,35.5,0.7252916693687439
78.0,32.5,1.892559289932251
78.0,32.75,1.264728546142578
78.0,33.0,0.9542144536972046
78.0,33.25,0.7468238472938538
78.0,33.5,0.6629638671875
78.0,33.75,0.6663613319396973
78.0,34.0,0.7638223171234131
78.0,34.25,1.0902061462402344
78.0,34.5,1.3157241344451904
78.0,34.75,1.200132131576538
78.0,35.0,0.9270161390304564
78.0,35.25,0.5960986018180847
78.0,35.5,0.3943778574466705
78.25,33.0,0.8306875824928284
78.25,33.25,0.6788298487663269
78.25,33.5,0.638030469417572
78.25,33.75,0.643696665763855
78.25,34.0,0.7615573406219482
78.25,34.25,0.9904764890670776
78.25,34.5,1.0630078315734863
78.25,34.75,0.8714832067489624
78.25,35.0,0.6108320951461792
78.25,35.25,0.4136450588703155
78.25,35.5,0.2583861351013183
78.5,32.75,0.7978230714797974
78.5,33.0,0.738892674446106
78.5,33.25,0.7196254730224609
78.5,33.5,0.6822273135185242
78.5,33.75,0.7581561803817749
78.5,34.0,0.8748844265937805
78.5,34.25,0.7842220067977905
78.5,34.5,0.7796883583068848
78.5,34.75,0.597234845161438
78.5,35.0,0.3977790474891662
78.5,35.25,0.2651847898960113
78.5,35.5,0.1779235899448394
78.75,32.5,1.0380744934082031
78.75,32.75,0.6482303142547607
78.75,33.0,0.7241591811180115
78.75,33.25,0.7660910487174988
78.75,33.5,0.7649585604667664
78.75,33.75,0.8862167596817017
78.75,34.0,0.947412133216858
78.75,34.25,0.7796883583068848
78.75,34.5,0.5349032878875732
78.75,34.75,0.3637820482254028
79.0,32.25,0.7513575553894043
79.0,32.5,0.6312317848205566
79.0,32.75,0.3637820482254028
79.0,33.0,0.4510432481765747
79.0,33.25,0.5179047584533691
79.0,33.5,0.454440712928772
79.0,33.75,0.547368049621582
79.0,34.0,0.7128268480300903
79.0,34.25,0.6504989862442017
79.0,34.5,0.3943778574466705
79.0,34.75,0.2515874803066253
79.25,32.5,0.6323642730712891
79.25,32.75,0.3207176923751831
79.25,33.0,0.3955103456974029
79.25,33.25,0.4363097250461578
79.25,33.5,0.3660470247268677
79.25,33.75,0.3581158816814422
79.25,34.0,0.4963725805282593
79.25,34.25,0.4680417478084564
79.25,34.5,0.2742521464824676
79.5,32.25,0.8873492479324341
79.5,32.5,0.5983673334121704
79.5,32.75,0.4000440239906311
79.5,33.0,0.4363097250461578
79.5,33.25,0.4317760467529297
79.5,33.5,0.3411136567592621
79.5,33.75,0.3343150019645691
79.5,34.0,0.3331825137138366
79.5,34.25,0.3082491457462311
79.5,34.5,0.2017244696617126
79.75,32.0,0.4725754261016845
79.75,32.25,0.5485042929649353
79.75,32.5,0.5326383113861084
79.75,32.75,0.4929713904857635
79.75,33.25,0.3592483699321747
79.75,33.5,0.2821870148181915
79.75,33.75,0.3218501806259155
79.75,34.0,0.3173165023326874
79.75,34.25,0.2459213137626648
79.75,34.5,0.1359954476356506
80.0,31.5,0.4646405577659607
80.0,31.75,0.5077049136161804
80.0,32.0,0.5303695797920227
80.0,32.25,0.3705807030200958
80.0,32.5,0.3025829792022705
80.0,32.75,0.4419758915901184
80.0,33.5,0.1348592340946197
80.0,33.75,0.2085231244564056
80.0,34.0,0.2617873251438141
80.0,34.25,0.2085231244564056
80.25,31.25,0.5269721150398254
80.25,31.5,0.4782415926456451
80.25,31.75,0.5145035982131958
80.25,32.0,0.4827752709388733
80.25,32.25,0.2889856696128845
80.25,32.5,0.1937896013259887
80.25,32.75,0.3875792026519775
80.25,33.5,0.1155957579612732
80.25,33.75,0.1597926020622253
80.25,34.0,0.2345889806747436
80.25,34.25,0.2255216240882873
80.25,34.5,0.1529939472675323
80.5,31.25,0.5870349407196045
80.5,31.5,0.4861727356910705
80.5,31.75,0.5167722702026367
80.5,32.0,0.3830455243587494
80.5,32.25,0.2073906362056732
80.5,32.5,0.1461915671825409
80.5,32.75,0.2753846347332001
80.5,33.5,0.0883974134922027
80.5,33.75,0.0906623899936676
80.5,34.0,0.1677237451076507
80.5,34.25,0.2039894461631775
80.75,31.25,0.7139593362808228
80.75,31.5,0.6062984466552734
80.75,31.75,0.3739781677722931
80.75,32.0,0.2413876354694366
80.75,32.25,0.1881234347820282
80.75,32.5,0.150725245475769
80.75,32.75,0.1949220895767212
80.75,33.0,0.1053959131240844
80.75,33.5,0.0974610447883606
80.75,33.75,0.0974610447883606
80.75,34.0,0.1416616141796112
81.0,31.25,0.7252916693687439
81.0,31.5,0.4929713904857635
81.0,31.75,0.2459213137626648
81.0,32.0,0.1722574234008789
81.0,32.25,0.1529939472675323
81.0,32.5,0.1495927572250366
81.0,32.75,0.1688599586486816
81.0,33.0,0.0702627003192901
81.0,33.5,0.1053959131240844
81.0,33.75,0.1348592340946197
81.25,31.25,0.6074346303939819
81.25,31.5,0.3615133464336395
81.25,31.75,0.1835897564888
81.25,32.0,0.1473277807235717
81.25,32.25,0.1269280910491943
81.25,32.5,0.1223944127559661
81.25,33.75,0.137127935886383
81.5,31.0,0.7241591811180115
81.5,31.25,0.4533082246780395
81.5,31.5,0.2447888255119323
81.5,31.75,0.1393929123878479
81.5,32.0,0.104263424873352
81.5,32.25,0.0997297465801239
81.75,31.25,0.3955103456974029
81.75,31.5,0.2141892910003662
81.75,31.75,0.1087971031665802
81.75,32.0,0.0725314021110534
